epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.082,2.8653,3.33322,2.76382,0.2814,0.29374,0.18537,0.10451,1.56179,1.55916,1.53604,0.00333244,0.00333244,0.00333244
2,713.685,1.76463,1.86406,1.61556,0.60942,0.49136,0.46242,0.31057,1.32223,1.14148,1.33201,0.00653379,0.00653379,0.00653379
3,1048.52,1.56236,1.52643,1.46168,0.6909,0.55017,0.60982,0.42064,1.24017,0.96339,1.27112,0.00960314,0.00960314,0.00960314
4,1381.26,1.45444,1.31333,1.38697,0.68002,0.68753,0.73417,0.5197,1.19987,0.82342,1.24078,0.009406,0.009406,0.009406
5,1714.2,1.378,1.15751,1.33509,0.75171,0.77052,0.81491,0.59258,1.16149,0.74652,1.21115,0.009208,0.009208,0.009208
6,2046.96,1.32449,1.05487,1.29692,0.84992,0.77293,0.8656,0.63291,1.13281,0.69051,1.18801,0.00901,0.00901,0.00901
7,2379.97,1.29024,0.98221,1.27738,0.84075,0.82599,0.88858,0.66025,1.10712,0.64642,1.17501,0.008812,0.008812,0.008812
8,2713.43,1.26144,0.93044,1.25983,0.84412,0.85765,0.90945,0.68084,1.09076,0.61117,1.16491,0.008614,0.008614,0.008614
9,3046.51,1.23929,0.88534,1.24585,0.87565,0.86219,0.9202,0.69559,1.07663,0.59109,1.15606,0.008416,0.008416,0.008416
10,3379.58,1.22269,0.85451,1.23629,0.8834,0.88212,0.93059,0.70308,1.06655,0.56118,1.14781,0.008218,0.008218,0.008218
11,3713.12,1.2053,0.82112,1.22519,0.89538,0.87913,0.932,0.71069,1.04835,0.54617,1.13641,0.00802,0.00802,0.00802
12,4046.39,1.18991,0.79712,1.21441,0.88691,0.88767,0.93995,0.72017,1.03786,0.53885,1.13236,0.007822,0.007822,0.007822
13,4379.31,1.17618,0.77315,1.20623,0.90296,0.89225,0.94102,0.72404,1.02981,0.52514,1.12523,0.007624,0.007624,0.007624
14,4712.82,1.16283,0.75322,1.19759,0.90171,0.88709,0.9488,0.7373,1.0179,0.51261,1.11815,0.007426,0.007426,0.007426
15,5045.62,1.15428,0.73604,1.19296,0.90174,0.89538,0.95338,0.73997,1.00726,0.50102,1.11191,0.007228,0.007228,0.007228
16,5378.79,1.14222,0.72112,1.18507,0.90503,0.89531,0.95445,0.74373,0.99941,0.49345,1.10687,0.00703,0.00703,0.00703
17,5712.11,1.13045,0.70666,1.1785,0.90231,0.9026,0.95673,0.7506,0.99475,0.48825,1.10291,0.006832,0.006832,0.006832
18,6045.31,1.12489,0.69652,1.1754,0.89373,0.9144,0.9597,0.75326,0.98587,0.48082,1.09796,0.006634,0.006634,0.006634
19,6378.33,1.11452,0.68355,1.16891,0.90661,0.90318,0.96139,0.75744,0.9826,0.4762,1.09577,0.006436,0.006436,0.006436
20,6710.99,1.10723,0.67331,1.16543,0.91115,0.89915,0.96284,0.75974,0.97571,0.47232,1.09164,0.006238,0.006238,0.006238
21,7043.99,1.09701,0.65999,1.15809,0.90385,0.91893,0.96464,0.76472,0.96989,0.46616,1.08845,0.00604,0.00604,0.00604
22,7377.27,1.09196,0.65423,1.15605,0.9186,0.90535,0.96421,0.7644,0.96266,0.46249,1.08578,0.005842,0.005842,0.005842
23,7710.15,1.08295,0.64404,1.15257,0.91249,0.91292,0.96506,0.7657,0.95947,0.45808,1.08377,0.005644,0.005644,0.005644
24,8042.92,1.07568,0.63579,1.14703,0.91794,0.90855,0.96584,0.76918,0.95576,0.45416,1.08147,0.005446,0.005446,0.005446
25,8375.7,1.07168,0.62871,1.14364,0.91054,0.91751,0.96695,0.77135,0.9521,0.4514,1.07972,0.005248,0.005248,0.005248
26,8708.83,1.06327,0.62086,1.13802,0.91257,0.91758,0.96711,0.772,0.94767,0.44855,1.07711,0.00505,0.00505,0.00505
27,9041.79,1.05652,0.61304,1.13356,0.89903,0.93377,0.96836,0.77606,0.9445,0.44572,1.07524,0.004852,0.004852,0.004852
28,9374.62,1.049,0.60282,1.12921,0.91825,0.91777,0.9692,0.77534,0.94144,0.4427,1.07349,0.004654,0.004654,0.004654
29,9707.59,1.04179,0.59804,1.1271,0.92064,0.9176,0.96915,0.77786,0.93861,0.44016,1.07199,0.004456,0.004456,0.004456
30,10040.6,1.03614,0.59186,1.12165,0.91867,0.92114,0.96947,0.77841,0.93687,0.43854,1.07075,0.004258,0.004258,0.004258
31,10373.7,1.03211,0.58542,1.12106,0.90695,0.93102,0.97,0.77931,0.93517,0.43655,1.06966,0.00406,0.00406,0.00406
32,10706.5,1.02628,0.58121,1.1171,0.91916,0.9221,0.9705,0.77981,0.93317,0.43522,1.06838,0.003862,0.003862,0.003862
33,11039.5,1.01832,0.5734,1.11235,0.91836,0.92995,0.97149,0.78086,0.93107,0.43317,1.06719,0.003664,0.003664,0.003664
34,11372,1.01514,0.56791,1.1104,0.92145,0.92711,0.97181,0.78128,0.9293,0.4315,1.06608,0.003466,0.003466,0.003466
35,11705.3,1.00768,0.56059,1.10626,0.92387,0.92471,0.97221,0.7841,0.92746,0.43024,1.06516,0.003268,0.003268,0.003268
36,12038.3,1.00019,0.55607,1.10264,0.925,0.92336,0.97251,0.78422,0.92571,0.42874,1.06408,0.00307,0.00307,0.00307
37,12371,0.99698,0.55149,1.10129,0.92235,0.92783,0.97288,0.78465,0.92386,0.42753,1.06301,0.002872,0.002872,0.002872
38,12703.7,0.99024,0.54505,1.09712,0.92137,0.92758,0.97323,0.78526,0.92213,0.42605,1.06197,0.002674,0.002674,0.002674
39,13036.4,0.98526,0.53986,1.09461,0.92236,0.92747,0.97352,0.78622,0.92028,0.42497,1.06091,0.002476,0.002476,0.002476
40,13369.2,0.98257,0.5371,1.09245,0.92452,0.92687,0.97381,0.78879,0.91853,0.42344,1.06009,0.002278,0.002278,0.002278
41,13697.7,0.94556,0.46721,1.09753,0.92484,0.92709,0.97419,0.79008,0.91688,0.42229,1.0592,0.00208,0.00208,0.00208
42,14025.5,0.93387,0.45859,1.09143,0.92325,0.92855,0.97464,0.79148,0.91494,0.42108,1.05806,0.001882,0.001882,0.001882
43,14353.7,0.92506,0.45197,1.08651,0.92472,0.9276,0.975,0.79284,0.91319,0.41928,1.05701,0.001684,0.001684,0.001684
44,14681.6,0.91629,0.44605,1.08079,0.92822,0.92636,0.97581,0.7937,0.911,0.41771,1.05588,0.001486,0.001486,0.001486
45,15009.4,0.9088,0.44065,1.07667,0.92657,0.92924,0.97572,0.79446,0.90912,0.41589,1.05472,0.001288,0.001288,0.001288
46,15337.3,0.90078,0.43511,1.07269,0.92496,0.93161,0.9765,0.79532,0.90705,0.41421,1.05356,0.00109,0.00109,0.00109
47,15664.9,0.89309,0.42929,1.06902,0.92629,0.93207,0.97666,0.79647,0.90479,0.41253,1.0524,0.000892,0.000892,0.000892
48,15992.8,0.88581,0.42501,1.06555,0.92763,0.93052,0.97687,0.79613,0.90266,0.41103,1.05119,0.000694,0.000694,0.000694
49,16320.4,0.879,0.41955,1.06121,0.929,0.92984,0.97715,0.79771,0.90059,0.40968,1.05,0.000496,0.000496,0.000496
50,16648,0.87272,0.41515,1.05724,0.92839,0.93256,0.97737,0.79911,0.8985,0.40826,1.04878,0.000298,0.000298,0.000298
